product_id,retailer_id,name,category,price,stock_count,discount_pct,is_essential
P0063,R004,Salad/Fruit 63 (Pack),Healthy,203,19,0,1
P0064,R004,Daily Item 64 (Standard),Essentials,559,24,0,1
P0065,R004,Drink 65 (Standard),Beverages,233,34,0,0
P0066,R004,Drink 66 (Pack),Beverages,200,3,25,0
P0067,R004,Daily Item 67 (Fresh),Essentials,553,7,0,1
P0068,R004,Drink 68 (Fresh),Beverages,167,32,0,0
P0069,R004,Salad/Fruit 69 (Pack),Healthy,569,21,10,1
P0070,R004,Snack 70 (Standard),Junk,384,7,0,0
P0071,R004,Snack 71 (Standard),Junk,296,29,0,0
P0072,R004,Salad/Fruit 72 (Fresh),Healthy,1059,32,20,1
P0073,R004,Salad/Fruit 73 (Premium),Healthy,646,48,16,1
P0074,R004,Daily Item 74 (Premium),Essentials,207,28,10,1
P0075,R004,Salad/Fruit 75 (Premium),Healthy,1160,23,0,1
P0076,R004,Snack 76 (Standard),Junk,200,30,0,0
P0077,R004,Drink 77 (Standard),Beverages,155,20,5,0
P0078,R004,Daily Item 78 (Fresh),Essentials,372,17,0,1
P0079,R004,Salad/Fruit 79 (Premium),Healthy,665,2,0,1
P0080,R004,Daily Item 80 (Fresh),Essentials,675,31,0,1
P0081,R005,Salad/Fruit 81 (Fresh),Healthy,1061,26,21,1
P0082,R005,Daily Item 82 (Fresh),Essentials,442,42,0,1
P0083,R005,Salad/Fruit 83 (Pack),Healthy,858,25,0,1
P0084,R005,Drink 84 (Premium),Beverages,52,6,0,0
P0085,R005,Drink 85 (Premium),Beverages,59,0,18,0
P0086,R005,Daily Item 86 (Pack),Essentials,703,11,0,1
P0087,R005,Salad/Fruit 87 (Pack),Healthy,1215,33,27,1
P0088,R005,Salad/Fruit 88 (Premium),Healthy,953,24,26,1
P0089,R005,Snack 89 (Pack),Junk,77,21,14,0
P0090,R005,Snack 90 (Fresh),Junk,290,42,5,0
P0091,R005,Daily Item 91 (Standard),Essentials,102,43,0,1
P0092,R005,Salad/Fruit 92 (Fresh),Healthy,1319,5,24,1
P0093,R005,Snack 93 (Premium),Junk,66,34,0,0
P0094,R005,Daily Item 94 (Pack),Essentials,705,12,0,1
P0095,R005,Snack 95 (Standard),Junk,177,18,0,0
P0096,R005,Salad/Fruit 96 (Premium),Healthy,1181,25,25,1
P0097,R005,Snack 97 (Pack),Junk,298,8,0,0
P0098,R005,Drink 98 (Standard),Beverages,97,0,0,0
P0099,R005,Daily Item 99 (Standard),Essentials,687,47,17,1
P0100,R005,Drink 100 (Pack),Beverages,228,38,0,0
P0101,R006,Drink 101 (Standard),Beverages,286,2,20,0
P0102,R006,Salad/Fruit 102 (Premium),Healthy,1096,21,18,1
P0103,R006,Daily Item 103 (Pack),Essentials,118,46,18,1
P0104,R006,Snack 104 (Fresh),Junk,223,15,20,0
P0105,R006,Drink 105 (Premium),Beverages,78,35,9,0
P0106,R006,Salad/Fruit 106 (Premium),Healthy,621,4,0,1
P0107,R006,Daily Item 107 (Pack),Essentials,272,9,0,1
P0108,R006,Snack 108 (Pack),Junk,115,0,0,0
P0109,R006,Drink 109 (Standard),Beverages,43,15,27,0
P0110,R006,Snack 110 (Premium),Junk,179,26,0,0
P0111,R006,Daily Item 111 (Standard),Essentials,739,34,0,1
P0112,R006,Drink 112 (Premium),Beverages,218,42,0,0
P0113,R006,Salad/Fruit 113 (Premium),Healthy,1291,9,17,1
P0114,R006,Daily Item 114 (Fresh),Essentials,656,45,23,1
P0115,R006,Snack 115 (Premium),Junk,54,22,12,0
P0116,R006,Drink 116 (Standard),Beverages,129,33,11,0
P0117,R006,Daily Item 117 (Standard),Essentials,550,49,0,1
P0118,R006,Drink 118 (Fresh),Beverages,256,20,0,0
P0119,R006,Daily Item 119 (Standard),Essentials,443,36,0,1
P0120,R006,Daily Item 120 (Pack),Essentials,788,48,0,1
P0121,R007,Daily Item 121 (Fresh),Essentials,145,23,0,1
P0122,R007,Daily Item 122 (Standard),Essentials,86,11,0,1
P0123,R007,Drink 123 (Standard),Beverages,256,34,21,0
P0124,R007,Drink 124 (Pack),Beverages,101,19,0,0
P0125,R007,Snack 125 (Fresh),Junk,206,18,0,0
P0126,R007,Daily Item 126 (Pack),Essentials,494,40,0,1
P0127,R007,Drink 127 (Fresh),Beverages,245,30,0,0
P0128,R007,Salad/Fruit 128 (Fresh),Healthy,1490,15,0,1
P0129,R007,Salad/Fruit 129 (Premium),Healthy,495,24,0,1
P0130,R007,Drink 130 (Standard),Beverages,92,22,0,0
P0131,R007,Salad/Fruit 131 (Standard),Healthy,208,41,0,1
P0132,R007,Snack 132 (Premium),Junk,242,4,0,0
P0133,R007,Drink 133 (Pack),Beverages,274,10,16,0
P0134,R007,Drink 134 (Premium),Beverages,113,43,0,0
P0135,R007,Snack 135 (Standard),Junk,26,45,0,0
P0136,R007,Snack 136 (Standard),Junk,302,1,9,0
P0137,R007,Snack 137 (Premium),Junk,358,7,0,0
P0138,R007,Drink 138 (Premium),Beverages,184,6,0,0
P0139,R007,Daily Item 139 (Premium),Essentials,119,30,0,1
P0140,R007,Daily Item 140 (Standard),Essentials,231,38,0,1
P0141,R008,Snack 141 (Premium),Junk,38,38,0,0
P0142,R008,Drink 142 (Premium),Beverages,180,49,0,0
P0143,R008,Snack 143 (Pack),Junk,167,27,0,0
P0144,R008,Salad/Fruit 144 (Premium),Healthy,1484,38,0,1
P0145,R008,Drink 145 (Standard),Beverages,229,48,5,0
P0146,R008,Snack 146 (Pack),Junk,136,5,0,0
P0147,R008,Drink 147 (Fresh),Beverages,199,44,25,0
P0148,R008,Daily Item 148 (Standard),Essentials,262,10,0,1
P0149,R008,Daily Item 149 (Standard),Essentials,276,18,0,1
P0150,R008,Snack 150 (Fresh),Junk,66,40,19,0
P0151,R008,Salad/Fruit 151 (Standard),Healthy,1496,2,0,1
P0152,R008,Drink 152 (Fresh),Beverages,51,9,0,0
P0153,R008,Daily Item 153 (Fresh),Essentials,407,11,25,1
P0154,R008,Daily Item 154 (Standard),Essentials,171,27,0,1
P0155,R008,Daily Item 155 (Premium),Essentials,747,49,9,1
P0156,R008,Drink 156 (Premium),Beverages,267,26,0,0
P0157,R008,Drink 157 (Fresh),Beverages,240,32,0,0
P0158,R008,Drink 158 (Pack),Beverages,259,47,18,0
P0159,R008,Salad/Fruit 159 (Fresh),Healthy,1376,5,0,1
P0160,R008,Daily Item 160 (Fresh),Essentials,758,46,0,1
